labels,value1,value2
1,  0.1910,     0.1951
2,  0.3298,     0.3656
3,  0.4615,     0.5172
4,  0.5771,     0.6653
5,  0.6692,     0.7671
6,  0.7018,     0.8356
7,  0.7497,     0.8824
8,  0.7898,     0.9218

